song,song,second,valence_raw,arousal_raw,valence_filt,arousal_filt,euclidean_dist_mean
stimuli/10_pieceA_anxious_joy_calm,100,50,0.073224594,0.07646668,0.076149345,0.077491851,0.0001052
stimuli/10_pieceA_anxious_joy_calm,101,50.5,0.07328664,0.074849557,0.07614534,0.077386727,0.000305536
stimuli/10_pieceA_anxious_joy_calm,102,51,0.075447463,0.075337698,0.076177344,0.077082872,0.000561268
stimuli/10_pieceA_anxious_joy_calm,103,51.5,0.077147822,0.075147864,0.076170148,0.07652165,0.000729606
stimuli/10_pieceA_anxious_joy_calm,104,52,0.077236925,0.074734582,0.076047055,0.075802503,0.000764859
stimuli/10_pieceA_anxious_joy_calm,105,52.5,0.075867664,0.074034644,0.075883569,0.075055321,0.000800683
stimuli/10_pieceA_anxious_joy_calm,106,53,0.075423968,0.073278174,0.075710938,0.074273469,0.000828111
stimuli/10_pieceA_anxious_joy_calm,107,53.5,0.076068479,0.071911632,0.075540717,0.073463042,0.000733666
stimuli/10_pieceA_anxious_joy_calm,108,54,0.076212589,0.073602051,0.075413787,0.072740439,0.000673025
stimuli/10_pieceA_anxious_joy_calm,109,54.5,0.076203082,0.072283785,0.075367481,0.072069009,0.000632989
stimuli/10_pieceA_anxious_joy_calm,110,55,0.075997034,0.071810612,0.075343422,0.071436477,0.000572649
stimuli/10_pieceA_anxious_joy_calm,111,55.5,0.075782865,0.070750858,0.075251178,0.070871306,0.00067169
stimuli/10_pieceA_anxious_joy_calm,112,56,0.075681596,0.069641852,0.075013021,0.070243255,0.000714092
stimuli/10_pieceA_anxious_joy_calm,113,56.5,0.075381644,0.069144515,0.07466331,0.069620656,0.000820087
stimuli/10_pieceA_anxious_joy_calm,114,57,0.074318325,0.069149671,0.074228808,0.068925134,0.000866096
stimuli/10_pieceA_anxious_joy_calm,115,57.5,0.073830357,0.068281833,0.073762448,0.068195318,0.000909829
stimuli/10_pieceA_anxious_joy_calm,116,58,0.073558324,0.067858901,0.073262421,0.067435212,0.001007116
stimuli/10_pieceA_anxious_joy_calm,117,58.5,0.073510935,0.067096362,0.072734529,0.066577533,0.001128348
stimuli/10_pieceA_anxious_joy_calm,118,59,0.073025792,0.066003512,0.072244256,0.065561265,0.001319562
stimuli/10_pieceA_anxious_joy_calm,119,59.5,0.072170539,0.065855647,0.071715953,0.064352075,0.001516704
stimuli/10_pieceA_anxious_joy_calm,120,60,0.071583579,0.064360401,0.071195549,0.062927445,0.001695551
stimuli/10_pieceA_anxious_joy_calm,121,60.5,0.067714792,0.061033361,0.07071604,0.06130111,0.001722159
stimuli/10_pieceA_anxious_joy_calm,122,61,0.067804265,0.060969029,0.070267154,0.059638482,0.001765868
stimuli/10_pieceA_anxious_joy_calm,123,61.5,0.069021112,0.060074198,0.069874266,0.057916876,0.001932779
stimuli/10_pieceA_anxious_joy_calm,124,62,0.069920782,0.058278701,0.069514706,0.056017836,0.00200231
stimuli/10_pieceA_anxious_joy_calm,125,62.5,0.070247821,0.038271568,0.069256744,0.054032212,0.002007347
stimuli/10_pieceA_anxious_joy_calm,126,63,0.068838521,0.057999324,0.069072654,0.052033324,0.001912767
stimuli/10_pieceA_anxious_joy_calm,127,63.5,0.069709516,0.056097953,0.068969864,0.050123321,0.001880675
stimuli/10_pieceA_anxious_joy_calm,128,64,0.069976449,0.053177342,0.06886051,0.048245828,0.001935544
stimuli/10_pieceA_anxious_joy_calm,129,64.5,0.067896424,0.047996071,0.068668956,0.046319786,0.001892326
stimuli/10_pieceA_anxious_joy_calm,130,65,0.06655614,0.044384893,0.068472839,0.04443765,0.001760393
stimuli/10_pieceA_anxious_joy_calm,131,65.5,0.066131412,0.041797812,0.068303372,0.042685433,0.001561954
stimuli/10_pieceA_anxious_joy_calm,132,66,0.066228075,0.039264397,0.068281836,0.041123627,0.001383683
stimuli/10_pieceA_anxious_joy_calm,133,66.5,0.067175593,0.038447198,0.068117359,0.039749754,0.001414794
stimuli/10_pieceA_anxious_joy_calm,134,67,0.067866373,0.03626575,0.067946781,0.038345281,0.001241799
stimuli/10_pieceA_anxious_joy_calm,135,67.5,0.070529063,0.035644757,0.067803419,0.037111785,0.001088038
stimuli/10_pieceA_anxious_joy_calm,136,68,0.070469221,0.033954323,0.067733158,0.036026018,0.000932444
stimuli/10_pieceA_anxious_joy_calm,137,68.5,0.070362792,0.031882412,0.067695213,0.035094346,0.000771627
stimuli/10_pieceA_anxious_joy_calm,138,69,0.069765091,0.031906418,0.067654086,0.034323816,0.000660628
stimuli/10_pieceA_anxious_joy_calm,139,69.5,0.068824675,0.031388127,0.067598264,0.033665551,0.00053564
stimuli/10_pieceA_anxious_joy_calm,140,70,0.068386096,0.031430621,0.067615637,0.033130193,0.000469871
