"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Public.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.fj4d","Manipulation..Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Context","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Image","Spreadsheet..Audio","Spreadsheet..randomise_block","Spreadsheet..gloomy_rating","Spreadsheet..upset_rating","Spreadsheet..scared_rating","Spreadsheet..sad_rating","Spreadsheet..anxious_rating","Spreadsheet..happy_rating","Spreadsheet..satisfied_rating","Spreadsheet..excited_rating","Spreadsheet..joyful_rating","Spreadsheet..relaxed_rating","Store..progress","Store..progress_practice"
"154","841",1766174617153,"19/12/2025 20:03:37",1766174617153,-6,"19/12/2025 14:03:37",169297,29,"task-6dig","repeat-xtpj#1",51540457,"677aefb67112f646f3fc77f6",14785270,NA,"complete",NA,"6945a719a54fb877a49c5b22","computer","Desktop or Laptop","Windows 10","Chrome 136.0.0.0","1920x1080","1920x919",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1733439,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"155","842",1766168409563,"19/12/2025 18:20:09",1766168409563,-8,"19/12/2025 10:20:09",169297,29,"task-6dig","repeat-xtpj#3",51535731,"677c358117d1ac70048fd3c6",14784600,NA,"complete",NA,"69458ee9dfc40630b7cf80e9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 143.0.0.0","1440x900","1440x778",NA,NA,0,"rating-task",17,"Incorrect~Incorrect~Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1746865,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"156","841",1766166992899,"19/12/2025 17:56:32",1766166992899,-8,"19/12/2025 09:56:32",169297,29,"task-6dig","repeat-xtpj#1",51534791,"6785704c3b1ab8813a4958b0",14784452,NA,"complete",NA,"69458ccb905f2c29c0f83f41","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1536x864","1536x695",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1004405,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"157","841",1766168973786,"19/12/2025 18:29:33",1766168973786,-8,"19/12/2025 10:29:33",169297,29,"task-6dig","repeat-xtpj#2",51536739,"67911b9be5af0ac0763a28c7",14784767,NA,"complete",NA,"694591456a8538555d711ae3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 143.0.0.0","1470x956","1470x797",NA,NA,0,"rating-task",17,"Incorrect~Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1415631,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"158","841",1766169870277,"19/12/2025 18:44:30",1766169870277,-6,"19/12/2025 12:44:30",169297,29,"task-6dig","repeat-xtpj#1",51537862,"67ac95764f3091a540c69b5b",14784920,NA,"complete",NA,"694597033bb2fda7607b7d9d","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1920x1080","1920x945",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1111978,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"159","837",1766176368328,"19/12/2025 20:32:48",1766176368328,-8,"19/12/2025 12:32:48",169297,29,"task-6dig","repeat-xtpj#2",51540347,"67bc755b022467c613763798",14785262,NA,"complete",NA,"6945a4aa5cc4e0785f6990a8","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1920x1080","1920x945",NA,NA,0,"rating-task",17,"Incorrect~Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,3533401,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"160","852",1766171693464,"19/12/2025 19:14:53",1766171693464,-5,"19/12/2025 14:14:53",169297,29,"task-6dig","repeat-xtpj#3",51538295,"67c78fbc58d20f4b7fe41479",14784901,NA,"complete",NA,"694595f971fa3074386b322d","computer","Desktop or Laptop","Windows 10","Chrome 139.0.0.0","1280x720","1366x641",NA,NA,0,"rating-task",17,"Incorrect~Incorrect~Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,2192058,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"161","841",1766169619426,"19/12/2025 18:40:19",1766169619426,-8,"19/12/2025 10:40:19",169297,29,"task-6dig","repeat-xtpj#2",51537174,"67cb4f07e42b150f96dc180b",14784800,NA,"complete",NA,"69459367242bfcdf46051c54","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1920x1080","1920x945",NA,NA,0,"rating-task",17,"Incorrect~Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1585072,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"162","832",1766169787171,"19/12/2025 18:43:07",1766169787171,-5,"19/12/2025 13:43:07",169297,29,"task-6dig","repeat-xtpj#1",51535265,"67cb51b23d74b436185a20eb",14784488,NA,"complete",NA,"69458cd3990d24b0eaa7c56a","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1920x1080","1920x1080",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,3471329,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"163","841",1766167499402,"19/12/2025 18:04:59",1766167499402,-5,"19/12/2025 13:04:59",169297,29,"task-6dig","repeat-xtpj#1",51534871,"67d29a840debd6b228515177",14784454,NA,"complete",NA,"69458cc12d0b237d66669126","computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1392x783","1392x783",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1458119,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
