"","pos2_anger_1","sad2_anger_1","sad8_anger_1","sad1_anger_1","happy7_anger_1","happy10_anger_1","happy1_anger_1","pos3_anger_1","pos2_disgust_1","sad2_disgust_1","sad8_disgust_1","sad1_disgust_1","happy7_disgust_1","happy10_disgust_1","happy1_disgust_1","pos3_disgust_1","pos2_sadness_1","sad2_sadness_1","sad8_sadness_1","sad1_sadness_1","happy7_sadness_1","happy10_sadness_1","happy1_sadness_1","pos3_sadness_1","pos2_scared_1","sad2_scared_1","sad8_scared_1","sad1_scared_1","happy7_scared_1","happy10_scared_1","happy1_scared_1","pos3_scared_1","pos2_upset_1","sad2_upset_1","sad8_upset_1","sad1_upset_1","happy7_upset_1","happy10_upset_1","happy1_upset_1","pos3_upset_1"
"122",13,28,18,32,5,14,14,21,12,29,13,27,10,16,13,14,12,26,20,31,14,13,23,12,8,47,14,31,16,17,22,15,9,31,22,29,14,19,32,21
"123",0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0,0,100,70,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
"124",0,0,0,0,0,8,0,0,0,0,5,0,0,7,1,0,0,71,77,0,0,7,7,0,0,89,7,0,0,3,0,0,0,65,49,0,0,2,0,0
"125",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,87,57,0,0,0,0,0,0,0,35,0,15,31,0,0,11,24,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,40,58,0,0,0,0,0,5,0,0,0,0,0,0,0,50,50,70,0,0,0,0
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
