Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-fj4d,Manipulation: Spreadsheet,Manipulation: EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,3
4,1766262437161,20/12/2025 20:27:17,1766262436716,-5,20/12/2025 15:27:16,169297,30,task-quo2,,51562725,60c381c26357c51532f1b378,14788575,,complete,,6947064a50e31375c62f6cb1,computer,Desktop or Laptop,Windows 10,Firefox 146.0,1536x864,1458x750,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000,,,,0,0,,,,1,,,Intro,NaN
5,1766262441369,20/12/2025 20:27:21,1766262440913,-5,20/12/2025 15:27:20,169297,30,task-quo2,,51562725,60c381c26357c51532f1b378,14788575,,complete,,6947064a50e31375c62f6cb1,computer,Desktop or Laptop,Windows 10,Firefox 146.0,1536x864,1458x750,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,4176,,,,0,0,,,,,,,end,NaN
6,1766262441519,20/12/2025 20:27:21,1766262440930,-5,20/12/2025 15:27:20,169297,30,task-quo2,,51562725,60c381c26357c51532f1b378,14788575,,complete,,6947064a50e31375c62f6cb1,computer,Desktop or Laptop,Windows 10,Firefox 146.0,1536x864,1458x750,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,END TASK,,,,,12620,,,,,,,,,,,,,NaN
1,1766262455270,20/12/2025 20:27:35,1766262454614,-5,20/12/2025 15:27:34,169297,30,task-quo2,,51562729,67d21364aa4dc87ecd8f3f1b,14788574,,complete,,69470666ff29b62d4b8209ec,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,NaN
2,1766262483379,20/12/2025 20:28:03,1766262482702,-5,20/12/2025 15:28:02,169297,30,task-quo2,,51562729,67d21364aa4dc87ecd8f3f1b,14788574,,complete,,69470666ff29b62d4b8209ec,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,23414.29999998212,,,,0,0,,,,,,,Intro,NaN
3,1766262487313,20/12/2025 20:28:07,1766262486636,-5,20/12/2025 15:28:06,169297,30,task-quo2,,51562729,67d21364aa4dc87ecd8f3f1b,14788574,,complete,,69470666ff29b62d4b8209ec,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,3921.199999988079,,,yes,1,1,,,,,,,Intro,NaN
4,1766262488302,20/12/2025 20:28:08,1766262487618,-5,20/12/2025 15:28:07,169297,30,task-quo2,,51562729,67d21364aa4dc87ecd8f3f1b,14788574,,complete,,69470666ff29b62d4b8209ec,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,999.5999999999985,,,,0,0,,,,1,,,Intro,NaN
5,1766262492470,20/12/2025 20:28:12,1766262491807,-5,20/12/2025 15:28:11,169297,30,task-quo2,,51562729,67d21364aa4dc87ecd8f3f1b,14788574,,complete,,69470666ff29b62d4b8209ec,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,4145.9000000059605,,,,0,0,,,,,,,end,NaN
6,1766262492918,20/12/2025 20:28:12,1766262491815,-5,20/12/2025 15:28:11,169297,30,task-quo2,,51562729,67d21364aa4dc87ecd8f3f1b,14788574,,complete,,69470666ff29b62d4b8209ec,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,,,END TASK,,,,,37201,,,,,,,,,,,,,NaN
1,1766262534105,20/12/2025 20:28:54,1766262532055,-9,20/12/2025 11:28:52,169297,30,task-quo2,,51562745,62dc4a5fef307ee53c61afcc,14788581,,complete,,69470656a47d482d85d6a132,computer,Desktop or Laptop,Chromium OS 14816.17.0,Chrome 103.0.0.0,1366x768,1366x649,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,NaN
2,1766262552587,20/12/2025 20:29:12,1766262549472,-9,20/12/2025 11:29:09,169297,30,task-quo2,,51562745,62dc4a5fef307ee53c61afcc,14788581,,complete,,69470656a47d482d85d6a132,computer,Desktop or Laptop,Chromium OS 14816.17.0,Chrome 103.0.0.0,1366x768,1366x649,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,15392,,,,0,0,,,,,,,Intro,NaN
3,1766262555122,20/12/2025 20:29:15,1766262552105,-9,20/12/2025 11:29:12,169297,30,task-quo2,,51562745,62dc4a5fef307ee53c61afcc,14788581,,complete,,69470656a47d482d85d6a132,computer,Desktop or Laptop,Chromium OS 14816.17.0,Chrome 103.0.0.0,1366x768,1366x649,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,2561.7999999970198,,,yes,1,1,,,,,,,Intro,NaN
4,1766262555427,20/12/2025 20:29:15,1766262553102,-9,20/12/2025 11:29:13,169297,30,task-quo2,,51562745,62dc4a5fef307ee53c61afcc,14788581,,complete,,69470656a47d482d85d6a132,computer,Desktop or Laptop,Chromium OS 14816.17.0,Chrome 103.0.0.0,1366x768,1366x649,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000.2379999999976,,,,0,0,,,,1,,,Intro,NaN
5,1766262559296,20/12/2025 20:29:19,1766262557302,-9,20/12/2025 11:29:17,169297,30,task-quo2,,51562745,62dc4a5fef307ee53c61afcc,14788581,,complete,,69470656a47d482d85d6a132,computer,Desktop or Laptop,Chromium OS 14816.17.0,Chrome 103.0.0.0,1366x768,1366x649,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,3606.5999999940395,,,,0,0,,,,,,,end,NaN
6,1766262559627,20/12/2025 20:29:19,1766262557321,-9,20/12/2025 11:29:17,169297,30,task-quo2,,51562745,62dc4a5fef307ee53c61afcc,14788581,,complete,,69470656a47d482d85d6a132,computer,Desktop or Laptop,Chromium OS 14816.17.0,Chrome 103.0.0.0,1366x768,1366x649,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,END TASK,,,,,25266,,,,,,,,,,,,,NaN
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
