"","Participant.Public.ID","gloomy","sad","scared","anxious","upset","stim","condition"
"265","31168",44,8,70,43,43,"Prison 2.jpg","pic"
"266","31168",0,10,0,0,0,"Snow 1.jpg","pic"
"267","31168",0,28,52,33,0,"Fire 10.jpg","pic"
"268","31168",13,24,49,53,0,"Flood 1.jpg","pic"
"269","31168",0,0,0,0,0,"Clean 1.jpg","pic"
"270","31168",0,0,0,0,0,"Heart 3.jpg","pic"
"271","31168",0,0,0,0,0,"Fireworks 6.jpg","pic"
"272","31168",0,0,0,0,0,"Rainbow 2.jpg","pic"
"273","31669",66,70,44,44,55,"Flood 1.jpg","pic"
"274","31669",17,52,41,23,39,"Garbage dump 1.jpg","pic"
"275","31669",37,32,27,39,44,"Snow 1.jpg","pic"
"276","31669",36,28,56,60,61,"Fire 10.jpg","pic"
"277","31669",28,43,72,61,50,"Toilet 4.jpg","pic"
"278","31669",31,27,56,57,26,"Fireworks 6.jpg","pic"
"279","31669",33,40,61,31,33,"Prison 2.jpg","pic"
"280","31669",24,18,20,25,33,"Rocks 1.jpg","pic"
"281","31669",63,65,56,19,72,"Destruction 2.jpg","pic"
"282","31669",27,26,19,42,47,"Clean 1.jpg","pic"
"283","31669",29,28,50,57,64,"Ferret 1.jpg","pic"
"284","31669",5,23,45,25,29,"Lake 12.jpg","pic"
"285","31669",28,18,43,32,30,"Heart 3.jpg","pic"
"286","31669",31,32,33,66,31,"Beach 1.jpg","pic"
"287","31669",19,22,45,12,17,"Rainbow 2.jpg","pic"
"288","31669",32,31,50,19,55,"Dirt 1.jpg","pic"
"289","31981",65,56,54,60,51,"Fireworks 6.jpg","pic"
"290","31981",47,56,57,56,46,"Clean 1.jpg","pic"
"291","31981",58,83,76,53,60,"Dirt 1.jpg","pic"
"292","31981",40,31,40,37,32,"Lake 12.jpg","pic"
"293","31981",24,74,69,12,80,"Toilet 4.jpg","pic"
"294","31981",40,58,65,55,61,"Fire 10.jpg","pic"
"295","31981",39,62,66,41,41,"Rainbow 2.jpg","pic"
"296","31981",44,51,51,54,43,"Ferret 1.jpg","pic"
"297","31981",7,3,81,86,21,"Garbage dump 1.jpg","pic"
"298","31981",48,48,48,5,56,"Flood 1.jpg","pic"
"299","31981",34,33,50,30,45,"Beach 1.jpg","pic"
"300","31981",26,47,61,32,41,"Rocks 1.jpg","pic"
"301","31981",50,44,52,52,52,"Snow 1.jpg","pic"
"302","31981",52,51,54,43,45,"Destruction 2.jpg","pic"
"303","31981",43,42,46,43,50,"Prison 2.jpg","pic"
"304","31981",55,56,42,45,47,"Heart 3.jpg","pic"
"305","29974",3,24,3,3,1,"Lake 12.jpg","pic"
"306","29974",3,1,18,0,2,"Rocks 1.jpg","pic"
"307","29974",0,50,0,0,0,"Rainbow 2.jpg","pic"
"308","29974",22,9,10,0,4,"Fireworks 6.jpg","pic"
"309","29974",68,91,1,10,0,"Fire 10.jpg","pic"
"310","29974",64,0,0,0,0,"Heart 3.jpg","pic"
"311","29974",92,0,100,100,0,"Toilet 4.jpg","pic"
"312","29974",0,0,0,0,0,"Dirt 1.jpg","pic"
"313","29974",66,68,0,17,0,"Clean 1.jpg","pic"
"314","29974",0,82,100,0,0,"Ferret 1.jpg","pic"
"315","29974",100,50,81,59,0,"Prison 2.jpg","pic"
"316","29974",0,62,0,0,0,"Snow 1.jpg","pic"
"317","29974",0,0,0,0,0,"Beach 1.jpg","pic"
"318","29974",5,69,70,6,0,"Garbage dump 1.jpg","pic"
