"","Participant.Public.ID","happy","satisfied","excited","joyful","relaxed","stim","condition"
"244","32551","4","1","2","2","0","Heart 3.jpg","pic"
"245","32551","","","","","","Prison 2.jpg","pic"
"246","32551","0","0","0","1","0","Ferret 1.jpg","pic"
"247","32551","","","","","","Toilet 4.jpg","pic"
"248","32551","0","0","0","0","1","Clean 1.jpg","pic"
"249","32551","","","","","","Fire 10.jpg","pic"
"250","32551","1","1","1","1","0","Garbage dump 1.jpg","pic"
"251","32551","","","","","","Beach 1.jpg","pic"
"252","32551","38","23","66","53","9","Fireworks 6.jpg","pic"
"253","32551","","","","","","Lake 12.jpg","pic"
"254","32551","38","52","2","28","27","Flood 1.jpg","pic"
"255","32551","","","","","","Destruction 2.jpg","pic"
"256","32551","1","2","2","2","1","Rocks 1.jpg","pic"
"257","32569","","","","","","Destruction 2.jpg","pic"
"258","32569","0","0","0","0","0","Ferret 1.jpg","pic"
"259","32569","","","","","","Lake 12.jpg","pic"
"260","32569","0","0","0","0","0","Dirt 1.jpg","pic"
"261","32569","","","","","","Toilet 4.jpg","pic"
"262","32569","0","0","0","0","0","Garbage dump 1.jpg","pic"
"263","32569","","","","","","Beach 1.jpg","pic"
"264","32569","23","0","0","25","17","Rocks 1.jpg","pic"
"265","32569","","","","","","Prison 2.jpg","pic"
"266","32569","34","30","55","53","0","Snow 1.jpg","pic"
"267","32569","","","","","","Fire 10.jpg","pic"
"268","32569","11","0","0","24","19","Flood 1.jpg","pic"
"269","32569","","","","","","Clean 1.jpg","pic"
"270","32569","0","0","0","0","0","Heart 3.jpg","pic"
"271","32569","","","","","","Fireworks 6.jpg","pic"
"272","32569","0","0","0","0","0","Rainbow 2.jpg","pic"
"273","32569","","","","","","Flood 1.jpg","pic"
"274","32569","19","34","0","10","24","Garbage dump 1.jpg","pic"
"275","32569","","","","","","Snow 1.jpg","pic"
"276","32569","0","0","0","0","0","Fire 10.jpg","pic"
"277","32569","","","","","","Toilet 4.jpg","pic"
"278","32569","0","0","0","0","0","Fireworks 6.jpg","pic"
"279","32569","","","","","","Prison 2.jpg","pic"
"280","32569","0","0","0","0","0","Rocks 1.jpg","pic"
"281","32569","","","","","","Destruction 2.jpg","pic"
"282","32569","0","0","0","0","0","Clean 1.jpg","pic"
"283","32569","","","","","","Ferret 1.jpg","pic"
"284","32569","0","0","0","0","0","Lake 12.jpg","pic"
"285","32569","","","","","","Heart 3.jpg","pic"
"286","32569","0","0","0","0","0","Beach 1.jpg","pic"
"287","32569","","","","","","Rainbow 2.jpg","pic"
"288","32569","9","13","0","9","15","Dirt 1.jpg","pic"
"289","32299","","","","","","Fireworks 6.jpg","pic"
"290","32299","0","0","0","0","0","Clean 1.jpg","pic"
"291","32299","","","","","","Dirt 1.jpg","pic"
"292","32299","50","50","40","30","75","Lake 12.jpg","pic"
"293","32299","","","","","","Toilet 4.jpg","pic"
"294","32299","0","0","0","0","0","Fire 10.jpg","pic"
"295","32299","","","","","","Rainbow 2.jpg","pic"
"296","32299","0","0","0","0","0","Ferret 1.jpg","pic"
"297","32299","","","","","","Garbage dump 1.jpg","pic"
"298","32299","0","0","0","0","0","Flood 1.jpg","pic"
"299","32299","","","","","","Beach 1.jpg","pic"
"300","32299","0","0","0","0","0","Rocks 1.jpg","pic"
