"","ID","negmusicICC","posmusicICC","negpicICC","pospicICC","negICC","posICC","allmusicICC","allpicICC"
"55","6287f4819c5fc8c4d48cc885",-0.695327977851133,-1.0829496512961,-1.48580870335362,-1.76390876122549,-1.10729741751893,-1.50784035227916,-0.889138814573616,-1.62485873228955
"56","628deac8711dee5dbda650ae",0,0,-0.0957003850417661,0,-0.0727513199105088,0,0,-0.047850192520883
"57","629e1738fcc7d0b6acfe5280",-0.597336150559346,-0.788241515386254,-1.3860410860795,-1.42449243409899,-1.11960107915825,-1.17734749890337,-0.6927888329728,-1.40526676008924
"58","62a889993e01c9e01ee7066e",-0.252645108531482,-1.33687719844541,-1.22574719762916,-1.52654393877013,-1.00117386011149,-1.43743797459814,-0.794761153488447,-1.37614556819965
"59","62b20c0065e9809e66d13fa5",-0.340776911631079,-0.375111205898639,-1.36535738939934,-1.66217040209314,-1.01593763862066,-1.17187361479368,-0.357944058764859,-1.51376389574624
"60","62c84ca82b03c9aedbca4a2a",-0.779387606215285,-0.99932098699338,-1.9006587883271,-1.78400311045939,-1.34231719738354,-1.37974425948472,-0.889354296604333,-1.84233094939325
"61","62d43cee3d60ac98c1dcacc8",-1.97509710849915,-1.80302174882739,-2.46354895535033,-3.81958679697785,-2.19992162582412,-2.370877760892,-1.88905942866327,-3.14156787616409
"62","62dc4a5fef307ee53c61afcc",-0.415606268167345,0,-0.69378625087946,-0.352819338228305,-0.58378926154145,-0.0893791307953658,-0.207803134083673,-0.523302794553883
"63","63026053812fe400f2929701",-0.759790894298221,-1.53860943445233,-1.03006025982114,-1.7014863200208,-1.03713162107929,-1.65739956510119,-1.14920016437528,-1.36577328992097
"64","63174b4e900ff6c7b0444f29",-0.699166162490706,-1.27656465770839,-1.31539154614613,-1.41467627069527,-1.25483072695401,-1.43151321566357,-0.987865410099547,-1.3650339084207
"65","63268ad93b6ecc1acf782a21",-0.980328299969208,-1.42343706563947,-1.38375984841309,-1.81158118997298,-1.14671783317345,-1.61812098970468,-1.20188268280434,-1.59767051919303
"66","632b3017a1169b3aa44c0d66",-0.789024574293967,-1.5333929644471,-1.6866994902897,-2.1804971430087,-1.3917531855667,-1.96141953873217,-1.16120876937053,-1.9335983166492
