"","song","song.1","second","valence_raw","arousal_raw","valence_filt","arousal_filt","euclidean_dist_mean","start_time"
"703","stimuli/12_pieceA_joyous_sad_anxious",223,111.5,-0.003804292,-0.021737448,-0.004091507,-0.021816159,0.00133394,NA
"704","stimuli/12_pieceA_joyous_sad_anxious",224,112,-0.00517418,-0.024197065,-0.005383389,-0.022148478,0.001360495,NA
"705","stimuli/12_pieceA_joyous_sad_anxious",225,112.5,-0.005163456,-0.026592419,-0.006698511,-0.022496904,0.001344976,NA
"706","stimuli/12_pieceA_joyous_sad_anxious",226,113,-0.00548601,-0.027248624,-0.007987956,-0.022879384,0.001281292,NA
"707","stimuli/12_pieceA_joyous_sad_anxious",227,113.5,-0.005929623,-0.02723441,-0.009191447,-0.023319065,0.00116983,NA
"708","stimuli/12_pieceA_joyous_sad_anxious",228,114,-0.006585122,-0.026954539,-0.010236506,-0.023844759,0.001029522,NA
"709","stimuli/12_pieceA_joyous_sad_anxious",229,114.5,-0.006884859,-0.027350476,-0.011037605,-0.024491408,0.000929633,NA
"710","stimuli/12_pieceA_joyous_sad_anxious",230,115,-0.007665496,-0.027857443,-0.011495326,-0.025300549,0.001020224,NA
"711","stimuli/12_pieceA_joyous_sad_anxious",231,115.5,-0.008512213,-0.02749369,-0.011495513,-0.026320773,0.001414964,NA
"712","stimuli/12_pieceA_joyous_sad_anxious",232,116,-0.008983139,-0.030097023,-0.010908435,-0.027608198,0.002089015,NA
"713","stimuli/12_pieceA_joyous_sad_anxious",233,116.5,-0.009304483,-0.028815204,-0.009587936,-0.029226921,0.003001237,NA
"714","stimuli/12_pieceA_joyous_sad_anxious",234,117,-0.009450698,-0.027545047,-0.007370592,-0.031249496,0.004141411,NA
"715","stimuli/12_pieceA_joyous_sad_anxious",235,117.5,-0.007587227,-0.02981509,-0.004074872,-0.033757386,0.005517081,NA
"1441","stimuli/5_pieceB_calm_sad_anxious",1,0.5,-0.014680003,-0.079729755,-0.023880087,-0.074213815,0.008961671,NA
"1442","stimuli/5_pieceB_calm_sad_anxious",2,1,-0.014384895,-0.080919806,-0.016915072,-0.079852974,0.00744648,NA
"1443","stimuli/5_pieceB_calm_sad_anxious",3,1.5,-0.014811602,-0.082277559,-0.011604869,-0.0850733,0.006179854,NA
"1444","stimuli/5_pieceB_calm_sad_anxious",4,2,-0.012644707,-0.086728177,-0.007703633,-0.089866102,0.005139041,NA
"1445","stimuli/5_pieceB_calm_sad_anxious",5,2.5,-0.010702261,-0.089661671,-0.004985574,-0.094227512,0.004299096,NA
"1446","stimuli/5_pieceB_calm_sad_anxious",6,3,-0.007391362,-0.091412711,-0.003244255,-0.098158165,0.003631825,NA
"1447","stimuli/5_pieceB_calm_sad_anxious",7,3.5,-0.005911124,-0.097140726,-0.002291877,-0.101662895,0.003105457,NA
"1448","stimuli/5_pieceB_calm_sad_anxious",8,4,-0.00498282,-0.102390819,-0.001958581,-0.104750415,0.002685899,NA
"1449","stimuli/5_pieceB_calm_sad_anxious",9,4.5,-0.002692119,-0.105717073,-0.002091734,-0.107433011,0.002339585,NA
"1450","stimuli/5_pieceB_calm_sad_anxious",10,5,-0.003019624,-0.148639129,-0.002555227,-0.109726225,0.002036897,NA
"1451","stimuli/5_pieceB_calm_sad_anxious",11,5.5,-0.002306358,-0.10824778,-0.003228764,-0.111648541,0.001754642,NA
"1452","stimuli/5_pieceB_calm_sad_anxious",12,6,-0.003054462,-0.10909649,-0.004007158,-0.113221078,0.00147682,NA
"1453","stimuli/5_pieceB_calm_sad_anxious",13,6.5,-0.002927977,-0.110472851,-0.004799622,-0.114467272,0.001194011,NA
"1454","stimuli/5_pieceB_calm_sad_anxious",14,7,-0.002034829,-0.112299648,-0.005529062,-0.115412566,0.000902073,NA
"1455","stimuli/5_pieceB_calm_sad_anxious",15,7.5,-0.001832024,-0.111622924,-0.006131374,-0.116084099,0.000600791,NA
