"","Participant.Public.ID","Response","Object.Name","Spreadsheet..Audio"
"130","TEAM_YA_031",26,"Joyful Slider","5_pieceB_calm_sad_anxious_7.mp3"
"131","TEAM_YA_031",10,"Anxious Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"132","TEAM_YA_031",67,"Satisfied Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"133","TEAM_YA_031",12,"Angry Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"134","TEAM_YA_031",11,"Excited Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"135","TEAM_YA_031",39,"Happy Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"136","TEAM_YA_031",7,"Disgusted Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"137","TEAM_YA_031",25,"Sad Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"138","TEAM_YA_031",8,"Proud Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"139","TEAM_YA_031",15,"Scared Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"140","TEAM_YA_031",17,"Joyful Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"141","TEAM_YA_031",19,"Anxious Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"142","TEAM_YA_031",45,"Satisfied Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"143","TEAM_YA_031",50,"Angry Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"144","TEAM_YA_031",48,"Excited Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"145","TEAM_YA_031",23,"Happy Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"146","TEAM_YA_031",9,"Disgusted Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"147","TEAM_YA_031",70,"Sad Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"148","TEAM_YA_031",7,"Proud Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"149","TEAM_YA_031",19,"Scared Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"150","TEAM_YA_031",19,"Joyful Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"151","TEAM_YA_031",46,"Anxious Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"152","TEAM_YA_031",47,"Satisfied Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"153","TEAM_YA_031",9,"Angry Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"154","TEAM_YA_031",71,"Excited Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"155","TEAM_YA_031",14,"Happy Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"156","TEAM_YA_031",2,"Disgusted Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"157","TEAM_YA_031",8,"Sad Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"158","TEAM_YA_031",16,"Proud Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"159","TEAM_YA_031",21,"Scared Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"160","TEAM_YA_031",67,"Joyful Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"161","TEAM_YA_031",14,"Anxious Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"162","TEAM_YA_031",70,"Satisfied Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"163","TEAM_YA_031",18,"Angry Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"164","TEAM_YA_031",63,"Excited Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"165","TEAM_YA_031",74,"Happy Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"166","TEAM_YA_031",8,"Disgusted Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"167","TEAM_YA_031",7,"Sad Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"168","TEAM_YA_031",5,"Proud Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"169","TEAM_YA_031",9,"Scared Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"170","TEAM_YA_031",70,"Joyful Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"171","TEAM_YA_031",10,"Anxious Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"172","TEAM_YA_031",18,"Satisfied Slider","12_pieceA_joyous_sad_anxious_3.mp3"
