"","Participant.Public.ID","happy","satisfied","excited","joyful","relaxed","stim","condition"
"32","32449",61,70,21,22,82,"Rocks 1.jpg","pic"
"33","31267",84,83,65,100,76,"Rainbow 2.jpg","pic"
"34","31267",100,73,73,58,100,"Clean 1.jpg","pic"
"35","31267",0,0,0,0,0,"Toilet 4.jpg","pic"
"36","31267",60,61,100,84,0,"Fireworks 6.jpg","pic"
"37","31267",0,0,0,0,3,"Destruction 2.jpg","pic"
"38","31267",0,0,0,0,0,"Flood 1.jpg","pic"
"39","31267",59,46,53,50,66,"Rocks 1.jpg","pic"
"40","31267",0,100,100,100,81,"Snow 1.jpg","pic"
"41","31267",100,96,84,100,100,"Beach 1.jpg","pic"
"42","31267",0,0,0,0,0,"Ferret 1.jpg","pic"
"43","31267",0,0,0,0,0,"Fire 10.jpg","pic"
"44","31267",45,64,19,64,33,"Heart 3.jpg","pic"
"45","31267",0,0,0,0,0,"Garbage dump 1.jpg","pic"
"46","31267",0,2,0,0,0,"Dirt 1.jpg","pic"
"47","31267",64,70,71,54,27,"Lake 12.jpg","pic"
"48","31267",0,0,0,0,0,"Prison 2.jpg","pic"
"49","31522",6,8,8,4,6,"Fire 10.jpg","pic"
"50","31522",87,76,82,79,70,"Clean 1.jpg","pic"
"51","31522",54,82,84,89,73,"Beach 1.jpg","pic"
"52","31522",22,12,14,13,10,"Snow 1.jpg","pic"
"53","31522",0,0,0,0,0,"Destruction 2.jpg","pic"
"54","31522",0,0,0,0,0,"Heart 3.jpg","pic"
"55","31522",0,0,0,0,0,"Garbage dump 1.jpg","pic"
"56","31522",0,0,0,0,0,"Ferret 1.jpg","pic"
"57","31522",67,23,26,83,0,"Rocks 1.jpg","pic"
"58","31522",7,41,93,76,16,"Lake 12.jpg","pic"
"59","31522",12,17,6,13,6,"Toilet 4.jpg","pic"
"60","31522",67,23,69,67,12,"Rainbow 2.jpg","pic"
"61","31522",19,7,9,9,7,"Flood 1.jpg","pic"
"62","31522",64,15,73,54,30,"Fireworks 6.jpg","pic"
"63","31522",5,3,9,6,6,"Dirt 1.jpg","pic"
"64","31522",0,0,0,0,0,"Prison 2.jpg","pic"
"65","29986",43,48,12,17,51,"Rocks 1.jpg","pic"
"66","29986",0,0,0,0,0,"Flood 1.jpg","pic"
"67","29986",14,21,0,0,72,"Snow 1.jpg","pic"
"68","29986",31,19,10,9,6,"Ferret 1.jpg","pic"
"69","29986",57,8,0,0,26,"Rainbow 2.jpg","pic"
"70","29986",0,0,0,0,0,"Toilet 4.jpg","pic"
"71","29986",12,21,6,0,57,"Fire 10.jpg","pic"
"72","29986",8,0,11,1,4,"Heart 3.jpg","pic"
"73","29986",0,0,0,0,0,"Destruction 2.jpg","pic"
"74","29986",0,0,0,0,0,"Prison 2.jpg","pic"
"75","29986",0,0,0,0,0,"Dirt 1.jpg","pic"
"76","29986",40,36,0,15,62,"Beach 1.jpg","pic"
"77","29986",0,0,0,0,0,"Garbage dump 1.jpg","pic"
"78","29986",18,72,37,15,84,"Lake 12.jpg","pic"
"79","29986",26,6,23,16,0,"Fireworks 6.jpg","pic"
"80","29986",17,22,5,0,68,"Clean 1.jpg","pic"
"81","30388",32,0,0,0,52,"Clean 1.jpg","pic"
