Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-fj4d,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Audio,Spreadsheet: randomise_block,Spreadsheet: gloomy_rating,Spreadsheet: upset_rating,Spreadsheet: scared_rating,Spreadsheet: sad_rating,Spreadsheet: anxious_rating,Spreadsheet: happy_rating,Spreadsheet: satisfied_rating,Spreadsheet: excited_rating,Spreadsheet: joyful_rating,Spreadsheet: relaxed_rating,Manipulation: Spreadsheet,Store: progress,Store: progress_practice
14,1730143121994,28/10/2024 19:18:41,1730128721994,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,info,,13.699999982112786,0,13.699999982112786,13.699999982112786,0,13.699999982112786,1,13.699999982112786,0,0,,Slider,Sad Slider,15,object-194,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,
15,1730143121994,28/10/2024 19:18:41,1730128721994,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,info,,14.59999998807325,0,14.59999998807325,14.59999998807325,0,14.59999998807325,1,14.59999998807325,0,0,,Slider,Satisfied Slider,17,object-196,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,
16,1730143121995,28/10/2024 19:18:41,1730128721995,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,info,,15.39999999999418,0,15.39999999999418,15.39999999999418,0,15.39999999999418,1,15.39999999999418,0,0,,Slider,Scared Slider,19,object-198,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,
17,1730143121996,28/10/2024 19:18:41,1730128721996,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,info,,16.300000005954644,0,16.300000005954644,16.300000005954644,0,16.300000005954644,1,16.300000005954644,0,0,,Slider,Joyful Slider,21,object-200,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,
18,1730143165048,28/10/2024 19:19:25,1730128765048,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,continue,,43066.600000000006,43050,43066.600000000006,43066.600000000006,43050,43066.600000000006,1,43066.600000000006,0,0,,Click To Continue,Continue,22,object-201,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,1
19,1730143165051,28/10/2024 19:19:25,1730128765051,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,response,4,11556.699999999997,43050,43066.600000000006,11556.699999999997,43050,43066.600000000006,1,11556.699999999997,31509.90000000001,0,,Slider,Anxious Slider,3,object-182,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,2
20,1730143165051,28/10/2024 19:19:25,1730128765051,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,response,56,33314.79999999999,43050,43066.600000000006,33314.79999999999,43050,43066.600000000006,1,33314.79999999999,9751.800000000017,0,,Slider,Relaxed Slider,5,object-184,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,3
21,1730143165052,28/10/2024 19:19:25,1730128765052,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,response,7,20841,43050,43066.600000000006,20841,43050,43066.600000000006,1,20841,22225.600000000006,0,,Slider,Gloomy Slider,7,object-186,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,4
22,1730143165052,28/10/2024 19:19:25,1730128765052,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,response,24,35502.5,43050,43066.600000000006,35502.5,43050,43066.600000000006,1,35502.5,7564.100000000006,0,,Slider,Excited Slider,9,object-188,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,5
23,1730143165052,28/10/2024 19:19:25,1730128765052,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,response,37,23495.699999999997,43050,43066.600000000006,23495.699999999997,43050,43066.600000000006,1,23495.699999999997,19570.90000000001,0,,Slider,Happy Slider,11,object-190,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,6
24,1730143165053,28/10/2024 19:19:25,1730128765053,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,response,0,37055.29999999999,43050,43066.600000000006,37055.29999999999,43050,43066.600000000006,1,37055.29999999999,6011.3000000000175,0,,Slider,Upset Slider,13,object-192,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,7
25,1730143165053,28/10/2024 19:19:25,1730128765053,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,response,1,25983.699999999997,43050,43066.600000000006,25983.699999999997,43050,43066.600000000006,1,25983.699999999997,17082.90000000001,0,,Slider,Sad Slider,15,object-194,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,8
26,1730143165053,28/10/2024 19:19:25,1730128765053,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,response,26,39092.399999999994,43050,43066.600000000006,39092.399999999994,43050,43066.600000000006,1,39092.399999999994,3974.2000000000116,0,,Slider,Satisfied Slider,17,object-196,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,9
27,1730143165054,28/10/2024 19:19:25,1730128765054,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,response,1,28288.29999999999,43050,43066.600000000006,28288.29999999999,43050,43066.600000000006,1,28288.29999999999,14778.300000000017,0,,Slider,Scared Slider,19,object-198,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,10
28,1730143165054,28/10/2024 19:19:25,1730128765054,-4,28/10/2024 11:19:25,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,response,51,40762.399999999994,43050,43066.600000000006,40762.399999999994,43050,43066.600000000006,1,40762.399999999994,2304.2000000000116,0,,Slider,Joyful Slider,21,object-200,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,11
29,1730143168004,28/10/2024 19:19:28,1730128768004,-4,28/10/2024 11:19:28,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Fixation_Music_Practice,Fixation Cross,9gsljt,1,continue,,2973.7999999999884,2973.7999999999884,2973.7999999999884,2973.7999999999884,2973.7999999999884,2973.7999999999884,1,2973.7999999999884,0,0,,Fixation Timing,Fixation Cross,1,object-92,Fixation_Music_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,,,,,,,,,,,,,11
30,1730143168007,28/10/2024 19:19:28,1730128768007,-4,28/10/2024 11:19:28,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Fixation_Music_Practice,Practice Music,j4jca7,2,info,audio started,0,0,0,3.5000000059662852,0,3.5000000059662852,1,0,0,0,,Audio Clip,Audio,1,object-96,Fixation_Music_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,,,,,,,,,,,,,11
31,1730143176001,28/10/2024 19:19:36,1730128776001,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Fixation_Music_Practice,Practice Music,j4jca7,2,timedOut,,0,0,0,7997.799999988085,7997.5,7997.799999988085,1,0,0,0,,Time Limit,screen,0,screen,Fixation_Music_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,,,,,,,,,,,,,11
32,1730143176068,28/10/2024 19:19:36,1730128776068,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Fixation_Music_Practice,Practice Music,j4jca7,2,info,audio finished,0,0,0,8064.899999982124,8064.3000000000175,8064.899999982124,1,0,0,0,,Audio Clip,Audio,1,object-96,Fixation_Music_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,,,,,,,,,,,,,11
33,1730143176069,28/10/2024 19:19:36,1730128776069,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Fixation_Music_Practice,Practice Music,j4jca7,2,continue,,0,0,0,8065.199999994045,8064.3000000000175,8065.199999994045,1,0,0,0,,Audio Clip,Audio,1,object-96,Fixation_Music_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,,,,,,,,,,,,,11
34,1730143176074,28/10/2024 19:19:36,1730128776074,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,2,Ratings_Practice,Practice Ratings,smykl5,1,info,,5.599999982106965,0,5.599999982106965,5.599999982106965,0,5.599999982106965,1,5.599999982106965,0,0,,Slider,Anxious Slider,3,object-182,Ratings_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,11
35,1730143176075,28/10/2024 19:19:36,1730128776075,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,2,Ratings_Practice,Practice Ratings,smykl5,1,info,,6.899999994027894,0,6.899999994027894,6.899999994027894,0,6.899999994027894,1,6.899999994027894,0,0,,Slider,Relaxed Slider,5,object-184,Ratings_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,11
36,1730143176076,28/10/2024 19:19:36,1730128776076,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,2,Ratings_Practice,Practice Ratings,smykl5,1,info,,7.7999999999883585,0,7.7999999999883585,7.7999999999883585,0,7.7999999999883585,1,7.7999999999883585,0,0,,Slider,Gloomy Slider,7,object-186,Ratings_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,11
37,1730143176076,28/10/2024 19:19:36,1730128776076,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,2,Ratings_Practice,Practice Ratings,smykl5,1,info,,8.49999998806743,0,8.49999998806743,8.49999998806743,0,8.49999998806743,1,8.49999998806743,0,0,,Slider,Excited Slider,9,object-188,Ratings_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,11
38,1730143176078,28/10/2024 19:19:36,1730128776078,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,2,Ratings_Practice,Practice Ratings,smykl5,1,info,,9.700000005948823,0,9.700000005948823,9.700000005948823,0,9.700000005948823,1,9.700000005948823,0,0,,Slider,Happy Slider,11,object-190,Ratings_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,11
39,1730143176079,28/10/2024 19:19:36,1730128776079,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,2,Ratings_Practice,Practice Ratings,smykl5,1,info,,10.700000005948823,0,10.700000005948823,10.700000005948823,0,10.700000005948823,1,10.700000005948823,0,0,,Slider,Upset Slider,13,object-192,Ratings_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,11
40,1730143176079,28/10/2024 19:19:36,1730128776079,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,2,Ratings_Practice,Practice Ratings,smykl5,1,info,,11.399999994027894,0,11.399999994027894,11.399999994027894,0,11.399999994027894,1,11.399999994027894,0,0,,Slider,Sad Slider,15,object-194,Ratings_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,11
41,1730143176080,28/10/2024 19:19:36,1730128776080,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,2,Ratings_Practice,Practice Ratings,smykl5,1,info,,12.700000005948823,0,12.700000005948823,12.700000005948823,0,12.700000005948823,1,12.700000005948823,0,0,,Slider,Satisfied Slider,17,object-196,Ratings_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,11
42,1730143176081,28/10/2024 19:19:36,1730128776081,-4,28/10/2024 11:19:36,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,2,Ratings_Practice,Practice Ratings,smykl5,1,info,,13.399999994027894,0,13.399999994027894,13.399999994027894,0,13.399999994027894,1,13.399999994027894,0,0,,Slider,Scared Slider,19,object-198,Ratings_Practice,,8_pieceA_dreamy_calm_joyous_1.mp3,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,11
